Sequence ID,name,length,exp number of AAs in TMHs,exp number of AAs in TMHs in the first 60 AAs,predicted number of TMH,topology,Probability of presequence,Prediction,Cleavage site (processing enzyme),Net charge,Positions for TOM20 recognition motif (deliminated by comma),Position of amphypathic alpha-helix,BHHPPP,BPHBHH,HBHHBb,HBHHbB,HHBHHB,HHBPHB,HHBPHH,HHBPHP,HHHBBH,HHHBPH,HHHHBB,HHPBHH,HPBHHP,PHHBPH
YP_009147492.1,putative exclusion protein [Enterobacteria phage SfI],144,90.50,39.86,4,i5-27o42-64i84-106o116-138i,0.121,No mitochondrial presequence,28(MPP),0.107,26-30,1-10-low,-,-,-,-,-,-,-,-,24-29,-,23-28,-,-,-
YP_009147669.1,hypothetical protein WRP3_012 [Lactococcus phage WRP3],133,22.12,22.09,1,i21-43o,0.105,No mitochondrial presequence,18(MPP),0.167,,19-28-low,-,-,-,-,-,-,-,-,13-18,-,12-17,-,-,-
YP_009147693.1,hypothetical protein WRP3_036 [Lactococcus phage WRP3],108,18.87,18.87,1,i7-26o,0.134,No mitochondrial presequence,50(MPP),0.100,71-75,1-12-high,-,-,-,-,-,-,-,-,-,-,-,-,-,-
YP_009147705.1,hypothetical protein WRP3_048 [Lactococcus phage WRP3],83,47.04,34.69,2,i9-31o51-73i,0.365,No mitochondrial presequence,9(MPP),0.444,"6-10,72-76,75-79",2-11-high,-,-,-,-,-,-,-,-,-,-,-,-,6-11,-
YP_009148582.1,hypothetical protein HY01_0131 [Escherichia phage HY01],61,41.06,41.06,2,o10-32i37-54o,0.189,No mitochondrial presequence,9(MPP),0.222,,5-14-low,-,-,-,-,-,-,6-11,-,-,-,-,-,-,-
YP_009149979.1,tail tape measure protein [Leuconostoc phage Ln-9],889,144.80,0.00,4,o520-542i549-571o575-597i618-640o,0.128,No mitochondrial presequence,31(MPP),0.032,18-22,18-29-low,-,-,-,-,-,-,-,-,-,-,-,-,18-23,-
YP_009151922.1,tail tape measure protein [Leuconostoc phage Ln-8],855,155.45,0.00,6,o508-530i542-564o574-596i603-625o649-671i678-700o,0.130,No mitochondrial presequence,31(MPP),0.032,18-22,18-29-low,-,-,-,-,-,-,-,-,-,-,-,-,18-23,-
YP_009152209.1,putative Rz [Shigella phage SfMu],128,16.05,16.05,1,i7-24o,0.232,No mitochondrial presequence,26(MPP),0.077,"66-70,70-74,73-77",18-27-low,-,-,-,-,-,-,-,-,21-26,-,-,-,-,-
YP_008858655.1,tail length tape measure protein [Brevibacillus phage Davies],684,98.42,0.01,4,o320-342i349-371o386-408i421-443o,0.158,No mitochondrial presequence,34(MPP),0.059,,10-21-low,-,-,-,-,-,-,-,-,-,-,-,-,-,-
YP_009016845.1,gp56 [Mycobacterium phage Vista],121,21.42,21.15,1,i29-51o,0.110,No mitochondrial presequence,23(MPP),0.130,"7-11,50-54,65-69",3-12-high,9-14,-,-,-,-,-,-,-,-,-,-,-,-,-
YP_009030558.1,hypothetical protein [Pseudomonas phage KPP25],76,44.30,38.59,2,i17-39o43-65i,0.513,Possessing mitochondrial presequence,69(MPP),0.072,14-18,8-18-high,-,-,-,-,-,-,-,-,-,-,-,13-18,-,-
YP_009031787.1,hypothetical protein [Pseudomonas phage vB_PaeP_C2-10_Ab09],100,44.99,20.81,2,i33-52o72-94i,0.141,No mitochondrial presequence,26(MPP),0.192,"12-16,74-78",11-20-high,-,-,-,-,-,-,-,-,-,-,-,-,-,-
YP_004300266.1,putative movement protein 2 [Trailing lespedeza virus 1],79,42.38,39.51,2,i7-26o41-63i,0.115,No mitochondrial presequence,28(MPP),0.107,38-42,6-15-high,-,-,-,-,-,22-27,7-12,-,-,21-26,-,-,-,-
YP_004935988.1,membrane protein RL11R [Cercopithecine betaherpesvirus 5],211,36.94,0.13,2,i123-145o155-177i,0.330,No mitochondrial presequence,26(MPP),0.154,2-6,1-10-high,-,-,-,-,-,-,-,-,-,-,-,-,-,-
YP_004936056.1,DNA packaging terminase subunit 1 [Cercopithecine betaherpesvirus 5],671,40.23,0.05,2,o159-181i218-240o,0.176,No mitochondrial presequence,21(MPP),0.095,52-56,10-19-low,-,-,-,-,-,-,-,-,-,-,-,-,-,-
YP_004936090.1,chemokine vCXCL5 [Cercopithecine betaherpesvirus 5],113,21.10,21.10,1,o4-26i,0.205,No mitochondrial presequence,31(MPP),0.065,3-7,17-27-high,-,-,-,-,-,-,-,-,-,-,-,-,-,-
YP_004936114.1,membrane glycoprotein US2 [Cercopithecine betaherpesvirus 5],220,22.84,0.33,1,o182-204i,0.595,Possessing mitochondrial presequence,80(MPP),0.062,,10-21-high,-,-,-,-,-,-,-,-,-,-,-,-,-,-
YP_004936125.1,membrane protein US12D [Cercopithecine betaherpesvirus 5],245,111.48,25.57,4,o15-37i136-158o163-185i198-220o,0.131,No mitochondrial presequence,41(MPP),0.024,"12-16,38-42",6-15-high,-,-,-,-,-,-,-,-,10-15,-,9-14,-,-,-
YP_004936127.1,membrane protein US17 [Cercopithecine betaherpesvirus 5],265,148.93,22.25,7,i36-58o68-87i94-116o121-143i150-169o179-197i213-235o,0.277,No mitochondrial presequence,36(MPP),0.194,6-10,15-26-low,-,-,-,-,-,-,-,-,-,-,-,-,-,-
YP_009158892.1,NS3 protein [Wad Medani virus],219,41.47,0.00,2,i98-120o135-152i,0.392,Possessing mitochondrial presequence,22(MPP),0.045,,2-17-low,-,-,-,-,-,-,1-6,-,-,-,-,-,-,-
YP_009037353.1,hypothetical protein JS09_030 [Escherichia phage vB_EcoM_JS09],61,41.15,41.15,2,o10-32i39-58o,0.115,No mitochondrial presequence,9(MPP),0.222,54-58,5-14-low,-,-,-,-,-,-,6-11,-,-,-,-,-,-,-
YP_009037406.1,hypothetical protein JS09_083 [Escherichia phage vB_EcoM_JS09],157,50.37,22.89,2,i33-55o70-101i,0.193,No mitochondrial presequence,23(MPP),0.043,59-63,12-21-low,-,-,-,-,-,-,-,-,-,-,-,-,-,-
YP_009208.1,pX [Porcine adenovirus 3],72,22.54,19.06,1,i41-63o,0.966,Possessing mitochondrial presequence,33(MPP),0.394,,17-26-high,-,-,-,21-26,-,-,-,-,-,-,-,-,-,-
YP_068067.1,pX [Tree shrew adenovirus 1],68,22.79,21.76,1,i39-61o,0.258,No mitochondrial presequence,34(MPP),0.441,,1-10-low,-,-,-,-,-,-,-,-,-,-,-,-,-,-
YP_094038.1,pX [Bovine mastadenovirus A],68,22.82,21.68,1,i37-59o,0.681,Possessing mitochondrial presequence,34(MPP),0.353,,15-24-high,-,-,-,-,-,-,-,-,-,-,-,-,-,-
YP_009160397.1,DNA pilot protein VP2 [Gokushovirinae Fen7875_21],327,37.44,30.17,2,o4-26i47-69o,0.826,Possessing mitochondrial presequence,23(MPP),0.130,"21-25,33-37,36-40",21-30-high,-,-,-,-,-,-,-,25-30,19-24,24-29,18-23,-,-,-
YP_009160404.1,hypothetical protein [Microviridae Fen7895_21],108,57.47,40.62,3,o10-32i39-58o63-85i,0.158,No mitochondrial presequence,28(MPP),0.107,"19-23,25-29,34-38,71-75",11-23-high,-,-,-,-,-,-,-,-,-,-,-,-,-,-
YP_233092.1,secreted epidermal growth factor-like protein [Vaccinia virus],140,22.67,0.80,1,o105-127i,0.344,No mitochondrial presequence,"17(MPP), 18(Icp55*)",0.118,"41-45,80-84",14-23-low,-,-,-,-,-,-,14-19,-,-,13-18,-,-,-,-
YP_233044.1,CD47-like putative membrane protein [Vaccinia virus],277,118.43,6.79,5,o125-147i154-176o186-208i215-237o247-269i,0.112,No mitochondrial presequence,47(MPP),0.064,,15-24-low,-,-,-,-,-,-,-,-,-,-,-,-,-,-
YP_233039.1,EEV glycoprotein [Vaccinia virus],168,21.76,21.74,1,o15-37i,0.832,Possessing mitochondrial presequence,12(MPP),0.250,,1-15-high,-,-,-,-,-,-,-,-,-,-,-,-,-,-
YP_233037.1,putative ATPase [Vaccinia virus],270,18.90,18.89,1,i21-43o,0.243,No mitochondrial presequence,21(MPP),0.095,"46-50,89-93",13-22-high,-,-,-,-,-,-,-,-,-,-,-,-,-,-
YP_232950.1,hypothetical protein VACWR068 [Vaccinia virus],666,19.41,0.00,1,o574-596i,0.294,No mitochondrial presequence,10(MPP),0.100,"8-12,12-16,71-75",12-21-high,-,-,-,-,-,-,-,-,-,-,-,11-16,12-17,-
YP_232891.1,secreted epidermal growth factor-like [Vaccinia virus],140,22.67,0.80,1,o105-127i,0.344,No mitochondrial presequence,"17(MPP), 18(Icp55*)",0.118,"41-45,80-84",14-23-low,-,-,-,-,-,-,14-19,-,-,13-18,-,-,-,-
YP_009148727.1,tail assembly protein [Citrobacter virus Stevie],199,52.60,0.00,3,i90-112o116-138i159-181o,0.534,Possessing mitochondrial presequence,"34(MPP), 35(Icp55*)",0.118,"1-5,20-24,31-35,72-76",8-17-high,-,-,-,-,-,-,-,-,-,-,-,-,1-6,-
YP_009148780.1,hypothetical protein CPT_Stevie74 [Citrobacter virus Stevie],98,20.26,0.00,1,i78-97o,0.101,No mitochondrial presequence,12(MPP),0.250,,5-14-high,-,-,-,-,-,-,-,-,-,4-9,-,-,-,-
YP_009162538.1,hypothetical protein SGPV166 [Salmon gill poxvirus],195,25.18,21.86,1,i21-43o,0.169,No mitochondrial presequence,20(MPP),0.150,44-48,4-13-high,-,-,-,-,-,-,-,-,-,-,-,-,-,-
YP_009162372.1,polyprotein [Lettuce italian necrotic virus],3173,43.89,0.00,2,o890-912i1108-1130o,0.213,No mitochondrial presequence,32(MPP),0.094,"29-33,54-58",18-27-low,-,-,-,-,-,-,-,-,-,-,-,-,-,-
YP_009162595.1,pX [Skunk adenovirus PB1],70,22.81,20.64,1,i39-61o,0.682,Possessing mitochondrial presequence,25(MPP),0.320,,14-23-low,-,-,-,-,-,-,-,-,-,-,-,-,-,-
YP_758314.1,odv-e56 [Leucania separata nucleopolyhedrovirus],361,34.19,0.00,1,o319-341i,0.320,No mitochondrial presequence,65(MPP),0.062,,7-16-high,-,-,-,-,-,-,-,-,-,-,-,-,-,-
YP_758321.1,p74 [Leucania separata nucleopolyhedrovirus],658,85.63,0.04,3,o438-460i590-609o619-641i,0.532,Possessing mitochondrial presequence,35(MPP),0.143,"15-19,24-28,35-39",19-28-high,-,-,-,25-30,-,-,19-24,-,-,18-23,-,-,-,-
YP_758442.1,egt [Leucania separata nucleopolyhedrovirus],554,33.07,11.44,1,o513-535i,0.687,Possessing mitochondrial presequence,28(MPP),0.143,40-44,20-29-high,-,24-29,-,-,-,-,-,-,-,-,-,-,-,-
YP_758443.1,fgf [Leucania separata nucleopolyhedrovirus],332,23.13,21.12,1,i39-61o,0.169,No mitochondrial presequence,68(MPP),0.103,"27-31,74-78",5-14-high,-,-,-,-,-,-,-,-,-,-,-,-,-,-
NP_037766.1,ORF6 odv-e56 [Spodoptera exigua multiple nucleopolyhedrovirus],371,32.21,0.00,1,o318-340i,0.156,No mitochondrial presequence,37(MPP),0.108,81-85,3-12-high,-,-,-,-,-,-,-,-,-,-,-,-,-,-
YP_006908067.1,hypothetical protein [Campylobacter phage CP30A],114,20.51,20.51,1,o15-34i,0.225,No mitochondrial presequence,31(MPP),0.065,28-32,3-12-high,-,-,-,-,-,-,-,-,-,-,-,-,-,-
YP_009112568.1,odv-e56 [Agrotis segetum nucleopolyhedrovirus B],368,37.42,0.15,1,o318-340i,0.125,No mitochondrial presequence,42(MPP),0.095,82-86,1-10-high,-,-,-,-,-,-,-,-,-,-,-,-,-,-
YP_009112582.1,v-cath [Agrotis segetum nucleopolyhedrovirus B],382,22.21,22.19,1,i21-43o,0.174,No mitochondrial presequence,24(MPP),0.125,"2-6,21-25,84-88",14-25-high,-,12-17,-,-,-,-,-,-,-,-,-,-,-,-
YP_009163802.1,ORF_041L [Scale drop disease virus],130,51.89,12.82,3,i32-54o69-91i103-125o,0.895,Possessing mitochondrial presequence,73(MPP),0.096,5-9,1-10-high,-,-,-,-,-,-,-,-,-,-,-,-,-,-
YP_009137485.1,UL47 [Papio ursinus cytomegalovirus],960,30.44,0.01,1,i417-439o,0.150,No mitochondrial presequence,67(MPP),0.000,,9-18-low,-,-,-,-,-,-,-,-,-,-,-,-,-,-
YP_001621843.1,flavivirus polyprotein [Dengue virus 3],3390,393.33,11.81,13,i50-72o253-275i722-744o759-781i1158-1175o1195-1217i1270-1292o1316-1335i1445-1467o2144-2166i2173-2190o2194-2213i2226-2248o,0.973,Possessing mitochondrial presequence,"56(MPP), 57(Icp55*)",0.232,"53-57,77-81",14-23-high,-,-,-,-,-,-,-,-,-,-,-,-,-,-
NP_056776.2,flavivirus polyprotein [Dengue virus 2],3391,384.84,10.87,11,i101-118o724-746i753-775o1158-1177i1198-1220o1270-1288i1447-1469o2145-2167i2174-2193o2197-2214i2227-2249o,0.940,Possessing mitochondrial presequence,"56(MPP), 57(Icp55*)",0.214,"53-57,88-92",14-23-high,-,-,-,-,-,-,-,-,-,-,-,-,-,-
NP_059433.1,flavivirus polyprotein [Dengue virus 1],3392,397.64,11.56,7,i101-118o724-746i753-775o2146-2168i2175-2194o2198-2215i2228-2250o,0.987,Possessing mitochondrial presequence,"56(MPP), 57(Icp55*)",0.232,"53-57,77-81",14-23-high,-,-,-,-,-,-,-,-,-,-,-,-,-,-
YP_009125430.1,hypothetical protein PBI_SPARKY_51 [Mycobacterium phage Sparky],129,21.27,21.22,1,i20-42o,0.157,No mitochondrial presequence,23(MPP),0.217,,18-27-high,-,-,-,-,-,-,-,-,-,-,-,-,-,-
YP_009147877.1,hypothetical protein PM16_43 [Proteus phage PM16],98,28.74,27.22,1,o39-61i,0.103,No mitochondrial presequence,13(MPP),0.231,60-64,4-13-high,-,-,-,-,-,-,-,-,-,-,-,-,-,-
YP_009165754.1,hypothetical protein AmFV_0004 [Apis mellifera filamentous virus],156,22.61,0.00,1,i69-91o,0.547,Possessing mitochondrial presequence,18(MPP),0.167,"1-5,70-74,73-77",13-22-high,3-8,-,-,-,-,-,-,-,-,-,-,-,1-6,-
YP_009165808.1,hypothetical protein AmFV_0059 [Apis mellifera filamentous virus],331,40.10,0.00,2,i169-191o308-330i,0.370,No mitochondrial presequence,38(MPP),0.158,"7-11,51-55",3-12-high,-,-,-,-,-,-,-,-,-,-,-,-,-,-
YP_009165815.1,hypothetical protein AmFV_0066 [Apis mellifera filamentous virus],264,25.39,2.10,1,i64-86o,0.188,No mitochondrial presequence,15(MPP),0.067,"46-50,56-60",8-17-high,-,-,-,-,-,-,-,-,-,-,-,-,-,-
YP_009165836.1,hypothetical protein AmFV_0087 [Apis mellifera filamentous virus],117,21.71,21.71,1,o33-55i,0.188,No mitochondrial presequence,24(MPP),0.125,92-96,18-28-high,-,-,-,-,-,-,-,-,-,-,-,-,-,-
YP_009165839.1,hypothetical protein AmFV_0090 [Apis mellifera filamentous virus],279,22.75,22.75,1,i26-48o,0.116,No mitochondrial presequence,"11(MPP), 12(Icp55*)",0.182,,19-28-low,-,-,-,-,-,-,-,-,-,-,-,-,-,-
YP_009165919.1,hypothetical protein AmFV_0171 [Apis mellifera filamentous virus],1250,54.59,0.00,3,o1153-1170i1172-1194o1198-1220i,0.159,No mitochondrial presequence,24(MPP),0.083,57-61,17-26-low,-,-,-,-,-,-,-,-,-,-,-,-,-,-
YP_009165934.1,hypothetical protein AmFV_0187 [Apis mellifera filamentous virus],1827,23.35,0.14,1,i79-101o,0.157,No mitochondrial presequence,23(MPP),0.087,,3-12-low,-,-,-,-,-,-,-,-,-,-,-,-,-,-
YP_009168541.1,putative membrane protein [Lactobacillus phage LBR48],208,68.50,0.02,3,i84-106o129-151i163-185o,0.326,No mitochondrial presequence,82(MPP),0.073,,1-10-high,-,-,-,-,-,-,-,8-13,-,-,-,-,-,7-12
YP_009168580.1,hypothetical protein [Lactobacillus phage LBR48],157,22.29,22.28,1,o20-42i,0.158,No mitochondrial presequence,50(MPP),0.120,69-73,2-11-high,-,-,-,-,-,-,-,-,-,-,-,-,-,-
YP_009168681.1,hypothetical protein [Staphylococcus phage SA1],123,23.87,2.42,1,i81-103o,0.103,No mitochondrial presequence,31(MPP),0.065,"51-55,94-98",6-17-low,-,-,-,-,-,-,-,-,-,-,-,-,-,-
YP_009169125.1,hypothetical phage membrane protein [Campylobacter virus CPt10],1172,48.11,0.07,1,i175-197o,0.485,Possessing mitochondrial presequence,24(MPP),0.208,,17-26-high,-,-,-,-,-,-,17-22,-,-,-,-,-,-,-
YP_009169174.1,hypothetical phage membrane protein [Campylobacter virus CP220],70,20.81,13.22,1,i50-69o,0.130,No mitochondrial presequence,27(MPP),0.185,"18-22,42-46",6-16-high,-,-,-,-,-,-,-,-,-,-,-,-,-,-
YP_009169319.1,hypothetical phage membrane protein [Campylobacter virus CP220],1159,49.24,0.03,1,i175-197o,0.289,No mitochondrial presequence,24(MPP),0.208,,17-26-high,-,-,-,-,-,-,-,-,-,-,-,-,-,-
YP_009167512.1,putative membrane protein [Enterobacteria phage RB68],61,41.02,41.02,2,o10-32i37-54o,0.188,No mitochondrial presequence,9(MPP),0.222,,5-14-low,-,-,-,-,-,-,6-11,-,-,-,-,-,-,-
YP_009168349.1,phage tail tape measure protein [Leuconostoc phage 1-A4],889,133.99,0.00,4,o520-542i549-571o581-603i615-637o,0.116,No mitochondrial presequence,31(MPP),0.032,18-22,18-29-low,-,-,-,-,-,-,-,-,-,-,-,-,18-23,-
YP_009169331.1,polyprotein [Paraiso Escondido virus],3441,449.45,18.25,21,i41-58o104-123i274-296o751-773i780-802o842-861i1186-1208o1228-1250i1276-1298o1313-1335i1356-1378o1412-1429i1486-1508o2188-2210i2215-2234o2239-2258i2271-2293o2323-2345i2352-2374o2389-2411i2483-2505o,0.679,Possessing mitochondrial presequence,22(MPP),0.273,80-84,17-26-high,-,-,-,-,-,-,-,-,-,-,-,-,-,-
YP_009167815.1,conserved hypothetical protein [Escherichia phage AR1],136,20.74,20.72,1,i7-29o,0.131,No mitochondrial presequence,28(MPP),0.107,"25-29,48-52",4-13-low,-,-,-,-,-,-,-,-,-,-,-,-,-,-
YP_009167956.1,conserved hypothetical protein [Escherichia phage AR1],61,41.02,41.02,2,o10-32i37-54o,0.188,No mitochondrial presequence,9(MPP),0.222,,5-14-low,-,-,-,-,-,-,6-11,-,-,-,-,-,-,-
YP_009168023.1,conserved hypothetical protein [Escherichia phage AR1],80,20.12,12.52,1,i48-70o,0.237,No mitochondrial presequence,17(MPP),0.176,25-29,8-19-high,-,-,-,-,-,-,-,-,-,-,-,-,-,-
YP_009168088.1,hypothetical protein AR1_277 [Escherichia phage AR1],80,24.39,12.19,1,i51-73o,0.614,Possessing mitochondrial presequence,28(MPP),0.143,"13-17,16-20,21-25,25-29,44-48,47-51",20-29-high,-,-,-,-,-,-,-,-,19-24,-,-,"12-17,24-29",-,-
YP_009172556.1,hypothetical protein OlV2_065 [Ostreococcus lucimarinus virus 2],102,19.49,19.49,1,o10-28i,0.162,No mitochondrial presequence,38(MPP),0.132,,10-19-low,-,-,-,-,-,-,-,-,-,-,-,-,-,-
YP_009172773.1,hypothetical protein OmV1_013c [Ostreococcus mediterraneus virus 1],190,27.06,25.87,1,i13-35o,0.394,Possessing mitochondrial presequence,43(MPP),0.116,"7-11,50-54",6-17-low,-,-,-,-,-,-,-,-,-,-,-,6-11,-,-
YP_009172774.1,hypothetical protein OmV1_014 [Ostreococcus mediterraneus virus 1],249,29.83,0.53,1,i162-184o,0.192,No mitochondrial presequence,87(MPP),0.138,"53-57,72-76",13-22-high,-,-,-,-,-,-,-,-,-,-,-,-,-,-
YP_009172809.1,hypothetical protein OmV1_049c [Ostreococcus mediterraneus virus 1],125,54.34,17.40,3,i34-56o66-85i105-122o,0.300,No mitochondrial presequence,19(MPP),0.316,,1-10-low,-,-,-,-,-,-,-,-,-,-,-,-,-,-
YP_009172835.1,hypothetical protein OmV1_075 [Ostreococcus mediterraneus virus 1],102,19.49,19.49,1,o10-28i,0.184,No mitochondrial presequence,38(MPP),0.132,,10-19-low,-,-,-,-,-,-,-,-,-,-,-,-,-,-
YP_009173053.1,hypothetical protein OlV7_041c [Ostreococcus lucimarinus virus 7],127,46.35,13.08,1,i104-126o,0.237,No mitochondrial presequence,18(MPP),0.222,,1-13-low,-,-,-,-,-,-,-,-,-,-,-,-,-,-
YP_009173189.1,hypothetical protein OlV7_177 [Ostreococcus lucimarinus virus 7],101,43.71,21.00,2,i13-35o68-90i,0.143,No mitochondrial presequence,15(MPP),0.200,6-10,1-10-low,-,-,-,-,-,-,-,-,-,-,-,5-10,-,-
YP_009118970.1,hypothetical protein [Pandoravirus inopinatum],140,41.68,21.32,2,i32-51o61-83i,0.961,Possessing mitochondrial presequence,37(MPP),0.216,"10-14,21-25,28-32",19-28-high,-,-,22-27,-,21-26,-,-,-,-,-,-,-,-,-
YP_009119026.1,hypothetical protein [Pandoravirus inopinatum],105,16.18,16.18,1,o15-37i,0.446,Possessing mitochondrial presequence,13(MPP),0.154,61-65,2-11-high,-,-,-,-,-,-,-,-,-,-,-,-,-,-
YP_009119069.1,ankyrin repeat protein [Pandoravirus inopinatum],192,20.45,20.39,1,i25-47o,0.199,No mitochondrial presequence,"57(MPP), 58(Icp55*)",0.070,27-31,1-10-low,-,-,-,-,-,-,-,-,-,-,-,-,-,-
YP_009119097.1,hypothetical protein [Pandoravirus inopinatum],156,31.22,20.45,2,i13-35o50-72i,0.161,No mitochondrial presequence,28(MPP),0.179,63-67,18-27-high,-,-,-,-,-,-,-,-,-,-,-,-,-,-
YP_009119104.1,hypothetical protein [Pandoravirus inopinatum],328,131.86,0.00,6,i80-102o129-151i163-185o195-214i227-249o264-286i,0.360,No mitochondrial presequence,16(MPP),0.250,,5-16-high,-,-,-,-,-,-,-,-,-,-,-,-,-,-
YP_009119106.1,hypothetical protein [Pandoravirus inopinatum],882,33.21,1.05,1,i99-121o,0.132,No mitochondrial presequence,28(MPP),0.107,26-30,21-30-high,-,-,-,-,-,-,-,-,24-29,-,-,-,-,-
YP_009119111.1,hypothetical protein [Pandoravirus inopinatum],200,21.78,0.33,1,o177-199i,0.779,Possessing mitochondrial presequence,"19(MPP), 27(Oct1)",0.105,16-20,1-10-low,18-23,-,-,-,-,-,-,-,14-19,-,-,-,-,-
YP_009119125.1,hypothetical protein [Pandoravirus inopinatum],110,32.07,24.00,1,i43-65o,0.426,Possessing mitochondrial presequence,43(MPP),0.186,45-49,3-12-high,-,-,-,-,-,-,-,-,-,-,-,-,-,-
YP_009119158.1,hypothetical protein [Pandoravirus inopinatum],111,37.77,1.37,2,i59-81o96-110i,0.575,Possessing mitochondrial presequence,39(MPP),0.154,,21-30-low,-,-,-,-,-,-,-,-,-,-,-,-,-,-
YP_009119162.1,hypothetical protein [Pandoravirus inopinatum],110,22.48,22.13,1,i5-27o,0.118,No mitochondrial presequence,31(MPP),0.097,"1-5,7-11,93-97",6-15-low,-,-,-,-,-,-,-,-,-,-,-,-,-,-
YP_009119238.1,hypothetical protein [Pandoravirus inopinatum],152,42.46,0.55,2,i62-84o104-126i,0.198,No mitochondrial presequence,39(MPP),0.154,"14-18,53-57",19-28-high,-,-,-,-,-,-,-,-,-,-,-,-,-,-
YP_009119303.1,hypothetical protein [Pandoravirus inopinatum],123,19.47,19.37,1,i13-30o,0.117,No mitochondrial presequence,34(MPP),0.118,36-40,12-22-high,-,9-14,-,-,-,-,-,-,-,-,-,-,-,-
YP_009119319.1,hypothetical protein [Pandoravirus inopinatum],114,22.29,8.36,1,o52-74i,0.195,No mitochondrial presequence,"41(MPP), 42(Icp55*)",0.073,"13-17,16-20,30-34,35-39",12-21-high,-,-,-,-,13-18,-,-,-,-,-,-,-,-,-
YP_009119332.1,hypothetical protein [Pandoravirus inopinatum],149,38.57,9.62,2,i71-90o105-122i,0.184,No mitochondrial presequence,26(MPP),0.192,,2-12-high,-,-,-,-,-,-,-,-,-,-,-,-,-,-
YP_009119343.1,hypothetical protein [Pandoravirus inopinatum],163,21.56,0.00,1,o143-162i,0.430,Possessing mitochondrial presequence,24(MPP),0.083,"21-25,82-86",10-20-low,-,-,-,-,-,-,-,-,-,-,-,-,-,-
YP_009119400.1,hypothetical protein [Pandoravirus inopinatum],110,22.79,6.10,1,i55-77o,0.164,No mitochondrial presequence,85(MPP),0.059,"1-5,52-56",1-12-low,-,-,-,-,-,-,-,-,-,-,-,-,-,-
YP_009119464.1,hypothetical protein [Pandoravirus inopinatum],139,22.50,5.83,1,i54-76o,0.647,Possessing mitochondrial presequence,50(MPP),0.140,11-15,20-29-low,-,-,12-17,-,11-16,-,-,-,-,-,-,-,-,-
YP_009119476.1,cathepsin C1-like peptidase [Pandoravirus inopinatum],166,21.11,14.26,1,i47-69o,0.265,No mitochondrial presequence,60(MPP),0.267,"35-39,57-61",21-30-high,-,-,-,-,-,-,-,-,-,-,-,-,-,-
YP_009119481.1,hypothetical protein [Pandoravirus inopinatum],156,45.00,21.87,2,i23-45o80-102i,0.809,Possessing mitochondrial presequence,65(MPP),0.138,"24-28,72-76",1-12-low,-,10-15,-,-,-,8-13,-,-,-,7-12,-,-,-,-
YP_009119520.1,hypothetical protein [Pandoravirus inopinatum],214,22.89,0.00,1,i129-151o,0.109,No mitochondrial presequence,31(MPP),0.161,"71-75,75-79",1-12-low,-,-,-,-,-,-,-,-,-,-,-,-,-,-
YP_009119526.1,hypothetical protein [Pandoravirus inopinatum],116,22.60,22.18,1,i7-29o,0.340,No mitochondrial presequence,"36(MPP), 37(Icp55*)",0.056,,13-24-low,-,-,-,-,-,-,-,-,-,-,-,-,-,-
YP_009119615.1,ankyrin repeat protein [Pandoravirus inopinatum],268,24.81,0.03,1,o238-260i,0.876,Possessing mitochondrial presequence,65(MPP),0.215,"38-42,54-58",1-10-low,-,-,-,-,-,-,-,-,-,-,-,-,-,-
YP_009119629.1,hypothetical protein [Pandoravirus inopinatum],129,63.77,41.81,3,o5-27i34-56o76-98i,0.155,No mitochondrial presequence,31(MPP),0.032,28-32,1-10-low,-,-,-,-,-,-,-,-,-,-,25-30,-,-,-
YP_009119639.1,hypothetical protein [Pandoravirus inopinatum],112,18.50,1.20,1,i92-111o,0.802,Possessing mitochondrial presequence,30(MPP),0.167,,1-12-high,-,-,-,-,-,-,-,-,3-8,-,-,-,-,-
YP_009119640.1,hypothetical protein [Pandoravirus inopinatum],178,69.85,5.54,3,i73-95o105-127i134-156o,0.168,No mitochondrial presequence,"37(MPP), 38(Icp55*)",0.135,,7-16-high,-,-,-,-,-,-,-,-,-,-,-,-,-,-
YP_009119682.1,hypothetical protein [Pandoravirus inopinatum],171,19.01,19.01,1,i5-22o,0.306,No mitochondrial presequence,30(MPP),0.133,36-40,14-23-high,-,-,-,-,-,-,-,-,-,-,-,-,-,-
YP_009119701.1,F-box domain protein [Pandoravirus inopinatum],439,40.34,17.80,2,o44-63i76-98o,0.148,No mitochondrial presequence,29(MPP),0.103,55-59,3-13-high,-,-,-,-,-,-,-,-,-,-,-,-,-,-
YP_009119716.1,hypothetical protein [Pandoravirus inopinatum],135,21.72,0.00,1,i71-93o,0.415,Possessing mitochondrial presequence,13(MPP),0.154,,16-25-high,-,-,-,-,-,-,17-22,-,-,-,-,-,-,16-21
YP_009119750.1,hypothetical protein [Pandoravirus inopinatum],124,23.82,0.49,1,i94-116o,0.184,No mitochondrial presequence,59(MPP),0.119,11-15,6-15-high,-,-,-,-,-,-,-,-,-,-,-,-,-,-
YP_009119753.1,hypothetical protein [Pandoravirus inopinatum],149,45.93,22.87,2,i30-52o62-84i,0.285,No mitochondrial presequence,28(MPP),0.107,"17-21,25-29,69-73,78-82",21-30-low,-,-,-,-,-,-,-,-,-,-,-,16-21,-,-
